Name,Player Name,Team,Country,Age,Position,Picture Url,Appearances,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
H. SUSANTO,HERI SUSANTO,PSBS BIAK,INDONESIA,31,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE6663.png,4,0,4,0,1,0,2,0,2,4,5,2,1,3,0,0,0,0,0,3,1,3,0
GWIJANGGE,SAMUEL VIKTOR GWIJANGGE,PSBS BIAK,INDONESIA,24,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22277891.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAKU,YUSAKU YAMADERA,PSIM YOGYAKARTA,JAPAN,28,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23057286.png,4,0,8,7,0,26,1,0,0,0,2,3,0,3,13,0,158,0,0,0,0,5,0
F RAMOS MINGO,FRANCO GASTON RAMOS MINGO,PSIM YOGYAKARTA,ITALY,28,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25060047.png,4,0,4,2,0,16,0,0,0,5,4,4,0,11,13,0,153,0,0,0,0,5,1
ANDY SETYO,ANDY SETYO NUGROHO,PSIM YOGYAKARTA,INDONESIA,28,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1818984375.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.IQBAL,MUHAMMAD IQBAL,PSIM YOGYAKARTA,INDONESIA,25,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1619997816.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORFE,CORFE DERI ANTONY,PSIM YOGYAKARTA,ENGLAND,27,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE24316679.png,4,0,2,1,0,0,4,1,1,5,12,2,0,3,2,0,80,0,0,3,0,3,0
SAVIO SHEVA,D. S. SHEVA MARESCA AMAVISCA,PSIM YOGYAKARTA,INDONESIA,24,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1919995142.png,4,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,45,0,0,0,4,4,0
A. FASE,ANTON QUINTEN OLIVIER FASE,PSIM YOGYAKARTA,BELANDA,25,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25221935.png,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ZE VALENTE,JOSE PEDRO MAGALHAES VALENTE,PSIM YOGYAKARTA,PORTUGAL,31,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22200683.png,4,0,8,0,0,1,6,2,1,1,6,18,1,1,0,0,220,1,0,2,6,4,1
PULGA VIDAL,NORBERTO EZEQUIEL VIDAL,PSIM YOGYAKARTA,ARGENTINA,30,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22306490.png,4,1,4,0,0,1,4,2,1,5,3,1,1,3,5,0,97,0,0,4,5,2,0
TEDDY,M. RENDRA TEDDY WIJANARKO,PSIM YOGYAKARTA,INDONESIA,29,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1616795959.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAKA C.R,RAKA CAHYANA RIZKY,PSIM YOGYAKARTA,INDONESIA,21,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE2111554566.png,4,1,4,1,2,3,3,1,2,1,0,0,0,1,16,0,83,0,0,0,1,5,0
IRFAN,IRFAN,PSIM YOGYAKARTA,INDONESIA,24,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21226545.png,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAHYA .S,CAHYA SUPRIADI,PSIM YOGYAKARTA,INDONESIA,22,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE2115698852.png,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0
IKHSAN CHAN,MHD IKHSAN CHAN,PSIM YOGYAKARTA,INDONESIA,21,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22221191.png,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
